eyres,BLI,Notes
Chloephaga_hybrida,Chloephaga_hybrida,
Chloephaga_picta,Chloephaga_picta,
Chloephaga_poliocephala,Chloephaga_poliocephala,
Chloephaga_rubidiceps,Chloephaga_rubidiceps,
Chloris_ambigua,Chloris_ambigua,
Chloris_chloris,Chloris_chloris,
Chloris_sinica,Chloris_sinica,
Chloris_spinoides,Chloris_spinoides,
Chondestes_grammacus,Chondestes_grammacus,
Chordeiles_acutipennis,Chordeiles_acutipennis,
Chordeiles_gundlachii,Chordeiles_gundlachii,
Chordeiles_minor,Chordeiles_minor,
Chordeiles_nacunda,Chordeiles_nacunda,
Chordeiles_pusillus,Chordeiles_pusillus,
Chrysococcyx_caprius,Chrysococcyx_caprius,
Chrysococcyx_cupreus,Chrysococcyx_cupreus,
Chrysococcyx_klaas,Chrysococcyx_klaas,
Chrysococcyx_maculatus,Chrysococcyx_maculatus,
Chrysococcyx_xanthorhynchus,Chrysococcyx_xanthorhynchus,
Chrysolampis_mosquitus,Chrysolampis_mosquitus,
Ciconia_abdimii,Ciconia_abdimii,
Ciconia_boyciana,Ciconia_boyciana,
Ciconia_ciconia,Ciconia_ciconia,
Ciconia_episcopus,Ciconia_episcopus,
Ciconia_nigra,Ciconia_nigra,
Cinclidium_frontale,Cinclidium_frontale,
Cinclodes_comechingonus,Cinclodes_comechingonus,
Cinclodes_fuscus,Cinclodes_fuscus,
Cinclodes_oustaleti,Cinclodes_oustaleti,
Cinclodes_patagonicus,Cinclodes_patagonicus,
Megalurus_cruralis,Cincloramphus_cruralis,
Megalurus_mathewsi,Cincloramphus_mathewsi,
Cinclus_cinclus,Cinclus_cinclus,
Cinnyricinclus_leucogaster,Cinnyricinclus_leucogaster,
Cinnyris_bifasciatus,Cinnyris_bifasciatus,
Cinnyris_chloropygius,Cinnyris_chloropygius,
Cinnyris_coccinigastrus,Cinnyris_coccinigastrus,
Cinnyris_cupreus,Cinnyris_cupreus,
Cinnyris_fuscus,Cinnyris_fuscus,
Cinnyris_mariquensis,Cinnyris_mariquensis,
Cinnyris_pulchellus,Cinnyris_pulchellus,
Cinnyris_talatala,Cinnyris_talatala,
Cinnyris_venustus,Cinnyris_venustus,
Circaetus_beaudouini,Circaetus_beaudouini,
Circaetus_gallicus,Circaetus_gallicus,
Circaetus_pectoralis,Circaetus_pectoralis,
Circus_aeruginosus,Circus_aeruginosus,
Circus_approximans,Circus_approximans,
Circus_assimilis,Circus_assimilis,
Circus_buffoni,Circus_buffoni,
Circus_cinereus,Circus_cinereus,
Circus_cyaneus,Circus_cyaneus,
Circus_hudsonius,Circus_hudsonius,
Circus_macrourus,Circus_macrourus,
Circus_maurus,Circus_maurus,
Circus_melanoleucos,Circus_melanoleucos,
Circus_pygargus,Circus_pygargus,
Circus_spilonotus,Circus_spilonotus,
Cissomela_pectoralis,Cissomela_pectoralis,
Cisticola_juncidis,Cisticola_juncidis,
Cistothorus_palustris,Cistothorus_palustris,
Cistothorus_platensis,Cistothorus_platensis,
Cladorhynchus_leucocephalus,Cladorhynchus_leucocephalus,
Clamator_coromandus,Clamator_coromandus,
Clamator_glandarius,Clamator_glandarius,
Clamator_jacobinus,Clamator_jacobinus,
Clamator_levaillantii,Clamator_levaillantii,
Aquila_clanga,Clanga_clanga,
Aquila_pomarina,Clanga_pomarina,
Clangula_hyemalis,Clangula_hyemalis,
Claravis_mondetoura,Claravis_mondetoura,
Coccothraustes_coccothraustes,Coccothraustes_coccothraustes,
Coccycua_cinerea,Coccycua_cinerea,
Coccyzus_americanus,Coccyzus_americanus,
Coccyzus_erythropthalmus,Coccyzus_erythropthalmus,
Coccyzus_euleri,Coccyzus_euleri,
Coccyzus_lansbergi,Coccyzus_lansbergi,
Coccyzus_melacoryphus,Coccyzus_melacoryphus,
Cochoa_purpurea,Cochoa_purpurea,
Cochoa_viridis,Cochoa_viridis,
Colaptes_auratus,Colaptes_auratus,
Colaptes_melanochloros,Colaptes_melanochloros,
Colorhamphus_parvirostris,Colorhamphus_parvirostris,
Columba_eversmanni,Columba_eversmanni,
Columba_leucomela,Columba_leucomela,
Columba_oenas,Columba_oenas,
Columba_palumbus,Columba_palumbus,
Columbina_picui,Columbina_picui,
Conirostrum_tamarugense,Conirostrum_tamarugense,
Conopophila_rufogularis,Conopophila_rufogularis,
Conothraupis_speculigera,Conothraupis_speculigera,
Contopus_cinereus,Contopus_cinereus,
Contopus_cooperi,Contopus_cooperi,
Contopus_pertinax,Contopus_pertinax,
Contopus_sordidulus,Contopus_sordidulus,
Contopus_virens,Contopus_virens,
Coracias_abyssinicus,Coracias_abyssinicus,
Coracias_caudatus,Coracias_caudatus,
Coracias_cyanogaster,Coracias_cyanogaster,
Coracias_garrulus,Coracias_garrulus,
Coracias_naevius,Coracias_naevius,
Coracina_maxima,Coracina_maxima,
Coracina_novaehollandiae,Coracina_novaehollandiae,
Coracina_tenuirostris,Edolisoma_tenuirostre,"genus changed, both HBW and BLI use this"
Corvus_bennetti,Corvus_bennetti,
Corvus_brachyrhynchos,Corvus_brachyrhynchos,
Corvus_corax,Corvus_corax,
Corvus_cornix,NA,genome paper showed it’s a cline. HBW and BLI lump this into C. corone
Corvus_corone,Corvus_corone,
Corvus_cryptoleucus,Corvus_cryptoleucus,
Coloeus_dauuricus,Corvus_dauuricus,
Corvus_frugilegus,Corvus_frugilegus,
Corvus_mellori,Corvus_mellori,
Coloeus_monedula,Corvus_monedula,
Corvus_ossifragus,Corvus_ossifragus,
Corvus_torquatus,Corvus_pectoralis,
Corvus_ruficollis,Corvus_ruficollis,
Phrygilus_alaudinus,Corydospiza_alaudina,
Phrygilus_carbonarius,Corydospiza_carbonaria,
Coryphospingus_cucullatus,Coryphospingus_cucullatus,
Corythornis_cristatus,Corythornis_cristatus,
Coscoroba_coscoroba,Coscoroba_coscoroba,
Cossypha_natalensis,Cossypha_natalensis,
Coturnicops_exquisitus,Coturnicops_exquisitus,
Coturnicops_noveboracensis,Coturnicops_noveboracensis,
Coturnix_coromandelica,Coturnix_coromandelica,
Coturnix_coturnix,Coturnix_coturnix,
Coturnix_delegorguei,Coturnix_delegorguei,
Coturnix_japonica,Coturnix_japonica,
Coturnix_pectoralis,Coturnix_pectoralis,
Creagrus_furcatus,Creagrus_furcatus,
Creatophora_cinerea,Creatophora_cinerea,
Crex_crex,Crex_crex,
Crex_egregia,Crex_egregia,
Crithagra_canicapilla,Crithagra_canicapilla,
Crithagra_gularis,Crithagra_gularis,
Crotophaga_sulcirostris,Crotophaga_sulcirostris,
